Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD)
Visible Alpha,https://visiblealpha.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Visible Alpha provides a data analytics and research platform to financial institutions. It also includes comparable forecast models and financial data from leading equity analysts. The research data it covers include P&L statements, balance sheets, cash flow statements, product-level sales, pricing and margins, segmented financial forecasts, geographic breakdowns, operation metrics and expense models.",USA,2012,Series B,2018,68000000,38000000
ZestMoney,https://www.zestmoney.in/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","ZestMoney is a growing consumer lending FinTech company that uses digital EMI, without the need for a credit card or a credit score. The company believes that being able to pay in EMI should be available to everyone and not only those who hold a credit card or have a credit score. With the use of mobile tech, digital banking, and AI, ZestMoney was made accessible to millions of Indian consumers. Founded in 2016 by digital finance and technology professionals, Priya Sharma, Lizzie Chapman, and Ashish Anantharaman, the company is backed by leading global digital financial services investors like PayU, Ribbit Capital, Omidiyar Networks among other.","Bangalore, Karnataka, India",2016,Venture - Series Unknown,2020,68373924,11473924
Capitolis,https://www.capitolis.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","Capitolis provides a platform to connect investors with collaborative solutions. It addresses capital markets constraints in equities and foreign exchange market. The offices are located in New York, London, and Tel Aviv. It has an ISO 27001 compliant platform that brings together buy-side, balance sheet providers, and trade processors.",USA,2017,Series B,2019,71500000,40000000
Kasisto,http://www.kasisto.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Kasisto enables financial institutions to service, engage, and acquire customers via human-like, intelligent conversations anytime, anywhere. Its digital experience platform, KAI, powers omnichannel virtual assistants and chatbots who are fluent in banking across mobile apps, websites, messaging platforms, and voice-enabled devices. The company was founded in 2013 by Dror Oren, Zor Gorelov, Sasha Caskey, and Ruth Brown and headquartered in New York, New York.","New York, New York, United States",2013,Early Stage Venture,2020,72450000,22000000
Immuta,https://www.immuta.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Immuta provides products for a secure and audited access to data across the enterprise through policy driven security model. Immuta's BoData provides secure fine grained and dynamic access control to disparate data silos through standard interfaces like File system, map-reduce and SQL while auditing data queries. Other product Bakula executes code in response to a real-time trigger in enterprise like upload of a file, database operation, website crawling etc. to ensure authorized access by users and analytics based on rules set. Delivers real time reporting capability to achieve data governance and compliance through tracking every action against enterprise data.",USA,2014,Series C,2020,73200000,40000000
PeerNova,https://peernova.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Peernova provides solutions for securities exchange and financial services. PeerNova has developed a technology platform that provides immutability and data integrity for use in securities exchanges applications. Based on blockchain, their patent-pending technology enables use of immutable ledgers and databases in real-time for multi-asset and multi-party transactions. Traditional applications of blockchains involve de-centralized ledgers, distributed consensus protocols, and anonymous users. Received a pre-Series A investment from semiconductor industry veteran and ex-Sequoia Capital VC, Pierre Lamond, and FireEye’s founder Ashar Aziz in July 2014.  With subsequent rounds of funding the firm has sought to move away from self mining and move more into a fullfledged blockchain application service provider",USA,2013,Series B,2019,74000000,31000000
Feedzai,http://www.feedzai.com,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","Feedzai is AI. Weâ€™re coding the future of commerce with todayâ€™s most advanced risk management platform powered by big data and artificial intelligence. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: make banking and commerce safe. The worldâ€™s largest banks, payment providers and retailers use Feedzaiâ€™s machine learning technology to manage risks associated with banking and shopping, whether digitally or in person.","San Mateo, California, United States",2011,Series C,2017,77465392,50000000
Wave Financial,http://www.waveapps.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Wave makes running a small business better by providing free accounting, invoicing, affordable credit card processing (payments) and payroll. Over 3 million small business owners, in more than 200 countries around the world, rely on WaveApps to run their business. Wave is headquartered in Toronto, Canada.","Toronto, Ontario, Canada",2009,Series D,2017,79751425,24000000
Canopy,https://www.getcanopy.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Canopy develops an online tax workflow management software that manages the tax workflow of tax practitioners. It is designed to streamline tax resolution for tax professionals. The company's platform provides cloud-based practice management and tax resolution software to thousands of accounting professionals nationwide. The modern, easy-to-use software cuts out tax practice busywork, enabling efficient client experience and brings all the different tools a practitioner needs under one roof.","Lehi, Utah, United States",2014,Venture - Series Unknown,2019,80000000,8000000
Agari Data,https://www.agari.com/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Agari is transforming the legacy Secure Email Gateway with its next-generation Secure Email Cloud. Agari Identity detects, defends, and deters costly advanced email attacks including business email compromise, spear phishing, and account takeover. It was founded in 2009 and headquartered in Foster City, California.","Foster City, California, United States",2009,Series E,2018,84700000,40000000
Forge Global,https://forgeglobal.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","Forge is a private market investment platform for shareholders, investors, companies, and institutions. It is a marketplace for angel investors, accredited investors, asset managers, venture capitalists, wealth managers, and family offices. It also offers liquidity, administration, and buyback solutions to startups and other private companies.",USA,2012,Series B,2019,85000000,35000000
AlphaSense,http://www.alpha-sense.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"AlphaSense is a revolutionary AI-powered search engine for market intelligence used by financial firms and corporations across industries and geographies. With more than 1,000 enterprise clients, our mission is to enable knowledge professionals to acquire critical business insights and data with speed and conviction. AlphaSenseâ€™s search technology leverages AI and natural language processing to parse topics, concepts and ideas semantically and uncover the most relevant insights from previously fragmented data sets. Headquartered in New York, AlphaSense currently has more than 240 employees, 70% of which are focused on product development, with offices in Helsinki, London, Mumbai, Pune and across the US.","New York, New York, United States",2011,Early Stage Venture,2019,87053805,50000000
Deserve,https://www.deservecards.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","At Deserve, they are committed to providing deserving but underserved people access to fair credit. When it comes to credit, most young people are caught in a catch-22: you donâ€™t qualify for the credit because you lack a credit history, and to build a credit history you first need to get credit. Deserve is different. Where traditional lenders see risk, Deserve sees the potential. Instead of just looking at credit history, they measure each applicantâ€™s credit potential by looking at factors such as education, current financial health, and future employability and earnings potential. Their compliance framework has been developed in kind to meet the most stringent requirements set forth by the law, using enhanced identity verification and consistent lending practices to ensure the utmost security and safety. The entire process, from sign up through approval to account management, is simple and frictionless. Ultimately, they believe credit and lending should be a win-win-win. Helping their customers be successful with credit and become financially independent is good for them, their business, and society, overall.","Menlo Park, California, United States",2013,Series C,2020,87100000,100000000
Pagantis,https://www.pagantis.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Pagantis has originated over â‚¬500 million in online consumer loans on its proprietary platform, which has been developed leveraging the companyâ€™s expertise in data science, technology, regulatory compliance, and finance. Our point of sale consumer finance platform for e-commerce (Paga+Tarde in Spain), allows consumers to pay for goods and services in monthly installments with a fully automated, paperless process and provides e-commerce merchants with a simple onboarding process to offer consumer credit in conjunction with e-commerce purchases.","Madrid, Madrid, Spain",2011,Series B,2019,87342806,73182869
ComplyAdvantage,https://complyadvantage.com/,1,Regulation,2,Identify the Client (AML/KYC),"ComplyAdvantage is a provider of cloud-based AML solutions. It provides information on politically exposed persons, sanctioned entities, terrorists and other entities that can help businesses avoid risk. It enables financial institutions to manage and regulate features such as global sanctions, global financial regulators, global law enforcement data, and more.",USA,2014,Series C,2020,88000000,55000000
Quantexa,https://www.quantexa.com/,1,Regulation,2,Identify the Client (AML/KYC),"Quantexa provides fraud and financial crime solutions and analytics. It uses a dynamic entity resolution and network analytic technology to help organizations in surveillance, protecting fraud, anti-bribery, and corruption losses, and manage compliance and anti-money laundering programs. It captures data from disparate sources and consolidates to use it for examining payment requests, applications for insurance claims, etc.",England,2016,Series C,2020,90100000,64700000
Socure,http://www.socure.com,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Socure's predictive analytics platform applies artificial intelligence and machine-learning techniques with trusted online/offline data intelligence from email, phone, address, IP, device, velocity, and the broader internet to verify identities in real-time.  Socure powers financial inclusion by approving as much as 40% more millennial and other thin-file consumers. It also reduces fraud for online new account openings by up to 95% with false positives of better than 1:1 and cuts manual review rates by as much as 90%.  It was founded in 2012 by Johnny Ayers, Chief Product Officer, and is led by CEO Tom Thimot. The company is based in New York City, with offices in San Diego, San Jose, and Chennai, India.","New York, New York, United States",2012,Series C,2020,94400000,35000000
Paxos,https://www.paxos.com/,2,Liquidity,5,Digital & Tokenized Assets,"Paxos is a blockchain-based solution provider to financial institutions. It offers - Bankchain, a blockchain settlement platform for post-trade settlements across capital markets. The platform reduces counterparty risk and increases balance sheet efficiencies, real-time tracking and transparent auditability, process automation. In partnership with Euronuclear; Euronuclear Bankchain, a tokenization process that turns physical gold into digital gold tokens.",USA,2013,Series B,2018,95500000,65000000
Ayasdi,https://www.ayasdi.com/,1,Regulation,2,Identify the Client (AML/KYC),"Ayasdi provides AI-enabled regulatory solutions to financial sectors. It offers risk management, AML solutions, and more, It employs data analysis to extract knowledge from data sets confronting organizations. It facilitates topological summaries to revolutionize the process for converting data into business impact.",USA,2008,Series C,2017,100000000,55000000
Renew Financial,http://www.renewfinancial.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Renew Financial provides financing solutions that help efficiency and renewable energy contractors grow their businesses while promoting energy independence. Its aim is to develop advanced financing designed to transform Americaâ€™s economy to clean energy. The companyâ€™s financing products include PACE financing model and the Warehouse for Energy Efficiency Loans, which opens the residential energy efficiency finance market to large institutional investors. Founded in 2008 by Cisco DeVries, Renew Financial has a partnership with SolarCity targeted at small- and medium-sized businesses utilizing PACE.","Oakland, California, United States",2008,Series D,2017,102200000,300000000
ScaleFactor,https://www.scalefactor.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","ScaleFactor provides accounting and finance software with automated bookkeeping, proactive alerts, and other features. It is a smart accounting and finance software that changes the way modern businesses operate. By automating complex accounting tasks and translating financial information into usable business insights, ScaleFactor is enabling business owners, managers, and entrepreneurs to focus on what they love: running and growing their business.  The company was founded in 2014 and is headquartered in Austin, Texas.","Austin, Texas, United States",2014,Series C,2019,102870000,60000000
Hero FinCorp,https://www.herofincorp.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Finance Made Easy. Three simple words, that drive India's next generation ultra-lean credit champion â€“ Hero FinCorp. Incorporated in December 1991 as Hero Honda FinLease Limited; the restructuring of our parent company Hero MotoCorp Limited, led to our present form as Hero FinCorp Limited. Today, we're present at close to 2000 retail financing touch-points across Hero MotoCorp's network, and have partnered with over 2000 satisfied corporate clients. Going forward, we plan to continously expand our offerings and geographic presence, whilst offering class leading financial services to all sections of our society.","New Delhi, Delhi, India",1991,Venture - Series Unknown,2016,104888414,104888414
Ethos Technologies,http://www.ethoslife.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Ethos Life is an insurance company that provides modern and ethical life insurance to protect life. Theyâ€™re building ground-breaking software for life insurance (a $650 billion market) and the company's mission is to make protecting your family affordable, accessible, and instant. It also employs a human approach in delivering its services. Ethos policies are issued and guaranteed by Legal & General America (LGA), a large U.S. life insurance provider since 1836. They use technology to learn about what makes you unique so that they can find new and truly personal ways to cover you. Ethos was founded in 2016, the company is headquartered in San Francisco, California, United States.","San Francisco, California, United States",2016,Series C,2019,106500000,60000000
Featurespace,https://www.featurespace.com/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Featurespace is the world-leader in Adaptive Behavioural Analytics and creator of the ARICâ„¢ platform, a machine learning software system developed out of the University of Cambridge. The ARICâ„¢ platform uses anomaly detection to analyse complex behavioural data in real time, spotting anomalies to block new fraud attacks as they occur. At the same time, Featurespace recognises genuine customers without blocking their activity. ARICâ„¢ reduces the number of genuine transactions incorrectly identified as fraud by over 70%, enabling businesses to accept more revenue. Head quartered in Cambridge, UK, and Atlanta, GA, U.S. Featurespace has deployed the ARICâ„¢ platform to organisations that have services or products deployed in over 180 countries. Customers include Betfair, Vocalink/Zapp, Worldpay, and TSYS, the largest third-party processor of VisaÂ® and MasterCardÂ® credit cards in the U.S.","Cambridge, Cambridgeshire, United Kingdom",2008,Venture - Series Unknown,2020,107927753,36713864
Hyperscience,http://www.hyperscience.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Hyperscience is a technology company blazing a new path in enterprise automation with a reimagined approach to building and powering processes. Its software-defined input to outcome automation platform used by the global 2000s and government organizations around the world to build and run mission-critical processes. It was founded in 2014 and headquartered in New York, United States.","New York, New York, United States",2014,Late Stage Venture,2020,108879675,60000000
Billtrust,https://billtrust.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Billtrust makes it easier for B2B companies to get paid. Weve been the leading innovator in A/R automation for nearly two decades. Our customers span 40+ industries and we lead with double digit market share in many of the industries we serve. We provide automated order-to-cash solutions that meet diverse buyer requirements and speed cash application through tailored invoice delivery, secure multi-channel payment enablement and intelligent matching and payment posting.","Lawrenceville, New Jersey, United States",2001,Series E,2018,111000000,4000000
R3,https://www.r3.com/corda-platform/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","R3 is a consortium of banks, exchanges, clearing houses, market infrastructure providers, asset managers and central banks aiming to develop applications of distributed ledger technologies for financial institutions. Their core product goes by the name of Corda. Built in collaboration with over 80 banks, it is an industry grade blockchain that is compliant with the requirements of government and requirements of commercial enterprises alike. Corda's aim is to be a permissioned blockchain enterprises can modify as per internal requirements.",USA,2013,Series A,2019,112000000,14500000
LendInvest,http://www.lendinvest.com,5,Consumer,16,B2C P2P,"LendInvest operates an online marketplace for property lending and investing. Its online marketplace platform lets everyday investors access various types of asset classes; and underwrites and pre-funds various investments. LendInvest also offers short-term property finance, such as bridge loans, development loans, and buy-to-let loans. Christian Faes and Ian Thomas founded it in 2008, with its headquarters in London in the United Kingdom.","London, England, United Kingdom",2008,Venture - Series Unknown,2019,113722705,15000000
HomeLight,https://www.homelight.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","HomeLight helps people in making smart decisions in buying or selling their home. The company's vision is a world where every real estate transaction is simple, certain, and satisfying. It develops software and offers services to home buyers, sellers, and real estate agents including HomeLight Agent Matching, the investor matching platform Simple Sale, consumer finance, and lending products through HomeLight Home Loans, and transactional tools through HomeLight Agent Services. HomeLight has helped clients and real estate agents and takes part in real estate business every year. HomeLight is the objective, end to end platform in real estate that allows individuals to achieve the best outcome from their home transaction. HomeLight has won awards and mentions from Inc. Magazine's 2019 Best Places to Work and Fortune Magazine as a Real Estate Company to Watch.","San Francisco, California, United States",2012,Series C,2019,118500000,63000000
WorkFusion,http://www.workfusion.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","WorkFusion is accelerating the worldâ€™s transition to more meaningful work. Our Intelligent Automation solutions are powered by pre-trained ExpertBots, proprietary artificial intelligence technology and advanced analytics, working together to automate a wide range of business processes. The worldâ€™s leading organizations use WorkFusion to automate their operations with ease and speed, helping them up-skill employees, reduce costs and unlock growth like never before. WorkFusion is headquartered in New York City with operations throughout Europe and Asia. Learn more at workfusion.com","New York, New York, United States",2010,Late Stage Venture,2018,121300000,50000000
JUMO Marketplace,http://www.jumo.world,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","JUMO is a full technology platform, developed for building and running financial services. JUMO partners with forward thinking banks and mobile network operators to connect consumers and small businesses with financial opportunity. JUMO combines data and technology to deliver products designed to reach and fit the 80% of the worldâ€™s population that are un(der)served by traditional financial services.   JUMOâ€™s extensive network of partners includes financial services providers such as the Barclays Africa Group, Letshego Bank, and Telenor Microfinance Bank, as well as mobile network operators such as MTN, Airtel, Telenor, and Tigo. In 2018, JUMO also partnered with Uber to create JUMO Drive, a digital vehicle asset financing product for Uber driver-partners. Currently, JUMO employs over 350 people in 10 countries across Africa and Asia, with hubs in Singapore, London, and Palo Alto. Approximately two-thirds of JUMOâ€™s employees are specialists in the areas of software engineering, data science, analytics, and finance. Since JUMO was founded in 2014, the company doubled its staff complement each year for two consecutive years, and it was recently recognized by the London Stock Exchange Group as one of the Companies to Inspire Africa in 2019.","Cape Town, NA - South Africa, South Africa",2014,Venture - Series Unknown,2020,122500000,55000000
Kensho Technologies,https://www.kensho.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Kensho is a provider of AI-based software solutions for law enforcement and businesses. The solutions offering includes Visallo, analysts, a software platform for law enforcement detectives, and fraud investigators produce more accurate, thorough, and timely analysis, and Kensho, a natural language processing platform to solve analytical problems of government and commercial institutions.",USA,2010,Acquired,2017,123000000,50000000
Behavox,https://www.behavox.com/,1,Regulation,2,Identify the Client (AML/KYC),"Behavox provides employee surveillance and compliance solutions for officers and forensics teams. It helps in detecting cases of market abuse, fraud, collusion, sensitive and reckless behavior, and conducts investigations faster. By linking communication (phone calls, email, IB chat etc.) and trading data the solutions allow users to discover, visualize and quantify the relationships between people, organizations, transactions, and content.",England,2014,Series C,2020,127000000,100000000
Roofstock,https://www.roofstock.com/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","Roofstock is an online marketplace for investing in leased single-family rental homes in a transparent and low-friction way. The company provides its clients with research, analytics, and insights to evaluate and purchase independently certified properties at set prices. It enables its investors to treat their real estate investments more like stock portfolios, focusing on asset allocation, rather than researching, and buying vacant homes that need to be repaired and leased. Founded in 2015, Roofstock gets its funding from Bain Capital, Ron Conway, Khosla Ventures, Marc Benioff, and other investment companies. It is headquartered in Oakland, California.","Oakland, California, United States",2015,Series D,2020,132250000,50000000
Digital Reasoning Systems,https://digitalreasoning.com/,1,Regulation,1,Meeting Regulatory Requirements,"Digital Reasoning provides machine learning based text analysis
",USA,2000,Series D,2020,138000000,20000000
Currencycloud,https://www.currencycloud.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Currencycloud is a global payments platform built on smart technology that takes the complexity out of moving money. Developers use their API building blocks to build customized payment solutions. Whether you want to embed their payments infrastructure into your products or services, or build on top of it, they will fit into your business in a way that works for you. They take care of all the intricacies and regulatory hurdles involved with cross-border payments, giving you the tools to globalize your business.","London, England, United Kingdom",2012,Series E,2020,141262452,80000000
obopay,http://obopay.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Obopay lets consumers and businesses purchase, pay, and transfer money through any mobile phone using ObopayÃ¢â‚¬â„¢s mobile application, text message, mobile Web, or Obopay.com. Obopay works on any mobile phone and any carrier in the U.S. ObopayÃ¢â‚¬â„¢s prepaid MasterCard works with any merchant that accepts MasterCard debit cards. Obopay has partnerships with Citi, Fidelity Information Services, MasterCard MoneySend, Bancorp, Verizon Wireless, AT&T and RIM.  Obopay has a wholly owned subsidiary in India whose service launched in March, 2008. Obopay India has announced partnerships with YES Bank, Aircel, BPL and Tata Indicom.","Bangalore, Karnataka, India",2005,Venture - Series Unknown,2011,144760181,8760181
Pagaya Investments,https://www.pagaya.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Pagaya Investments (Pagaya) is a financial technology company reshaping the asset management space using machine learning and big data analytics to manage institutional money.  With a focus on fixed income and alternative credit, Pagaya offers a variety of discretionary funds to institutional investors including pension funds, insurance companies, and banks.  Pagayaâ€™s unique technology platform â€” Pagaya Pulse â€” runs on a suite of artificial intelligence technologies and state-of-the-art algorithms to deliver a consistently high and scalable performance edge.  The company was founded in 2016 by seasoned finance and technology professionals with offices in New York and Tel Aviv.","New York, New York, United States",2016,Series D,2020,146250000,102000000
Thought Machine,https://thoughtmachine.net/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Thought Machine offers a cloud-based core banking platform. It provides the core technology for essential bank functions including building digital bank products such as loans, credit cards & mortgages, and more. Their engagement model helps clients with design, requirements, and partnerships.",England,2014,Series B,2020,149000000,42000000
Digital Asset,https://www.digitalasset.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Digital Asset builds distributed, encrypted STP tools for capital markets and financial institutions. It develops technology that helps efficiency, transparency, compliance and settlement speed using cryptographic, distributed ledgers. Their offerings are 1) Open source distributed ledge infrastructure to create ledgers 2) Digital asset platform that interacts with ledgers and enable applications embedded with business logics in the form of low-level services 3) Business applications that are asset-specific plugins. In Jan, 2016 the company was selected by ASX to develop solutions for the Australian market utilizing Distributed Ledger Technology. 
",USA,2014,Series C,2020,150000000,60000000
Kyriba,http://www.kyriba.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Kyriba offers SaaS-based treasury solutions that enable treasury departments to plan for market volatility, regulation, and opportunities. Kyriba is a provider of web-based cash and treasury management solutions delivered under the SaaS model.  It was founded in 2000 and headquartered in San Diego, California.","San Diego, California, United States",2000,Series E,2017,152500000,45000000
Unqork,https://www.unqork.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Unqork is a no-code enterprise application platform that helps large companies build, deploy, and manage complex applications.  The company's platform allows users to build, deploy, and manage complex applications without writing a single line of code and streamlines product sales process to improve customer experience, enabling large companies to build complex custom software faster with higher quality, and lower costs than conventional approaches. The company was founded in 2017 and is headquartered in New York.","New York, New York, United States",2017,Series B,2020,158169951,51000000
Enigma Technologies,https://enigma.com/,1,Regulation,2,Identify the Client (AML/KYC),"Enigma is a financial database focused on private companies in the financial and life science sectors. It enables users to connect and organize private and public data to analyze and view insights and relationships between entities in the form of graphs and solve business problems. It helps users to capture public data from factories, shipping records, tax filings, data related to healthcare, oil and gas industries and integrate with internal data for performing analytics to improve business performance. It offers data infrastructure products ""Enigma Assembly"" which is a platform that allows users to manage data discovery, data preparation, and metadata and ""Enigma concourse"" - a data operations platform that allows users to integrate data from different sources and remove duplications in the data. It provides solutions for ensuring compliance and also offers decision-making solutions for commercial banks, mobile payment providers, card issuers and insurance industries.
",USA,2011,Series C,2018,166000000,95000000
Privitar,https://www.privitar.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Privitar provides a big data platform for data security & privacy. The product offers big data security-based data mining solution which employs data anonymization and masking. Its approach preserves data utility and uses advanced statistical techniques to ensure data mining operations. It also preserves privacy by preventing direct access to sensitive data. The software delivers privacy-preserving data mining techniques using algorithms taking both identifiers and quasi-identifiers into consideration. The features of the product include protection against differential privacy attacks on real-time streaming data, user experience, safe cloud adoption, and tools for collaboration for the extended use of sensitive data. The clients of the company are ClearScore, Vitality, HSBC, Discovery, Sensyne Health, citi, etc.",England,2015,Series C,2020,174000000,87000000
iCapital Network,https://www.icapitalnetwork.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","iCapital Network provides investment management solutions for private market investors. It enables users to access private equity and hedge fund managers for alternative investment. It offers research & analysis, due diligence, reporting and administration solutions for investment in funds. Also offers market news, insights, videos, blogs, and research reports.",USA,2013,Series C,2020,180000000,146000000
Fenergo,https://www.fenergo.com/,1,Regulation,2,Identify the Client (AML/KYC),"Fenergo is a software company that enables financial institutions to meet regulatory compliance and data requirements in onboarding new clients. It offers client onboarding lifecycle management solutions which include account opening, KYC compliance, legal entity data and collateral management, client due diligence, client servicing, and client account management.",Ireland,2009,Series C,2020,181000000,80100000
Pluris,http://www.pluris.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Pluris is defining the next-generation IP core infrastructure. The Teraplex architecture's scalability, fault-tolerance, and performance deliver service providers a future free of forklift upgrades.","New York, New York, United States",1997,Venture - Series Unknown,2002,194000000,53000000
MetricStream,https://www.metricstream.com/,1,Regulation,1,Meeting Regulatory Requirements,"MetricStream is a provider of cloud-based regulatory solutions. It provides cloud-based regulatory solutions for financial institutions. The features of the product include vendor risk management, compliance management, regulatory change management, cybersecurity management, and more. It also provides analytics & insights for integrated risk management solutions.
",USA,1999,Series D,2017,215000000,65400000
Figure Technologies,https://www.figure.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Figure provides an online lending platform for consumer loans. It offers loans such as student loan refinancing, mortgage refinancing, and home equity loans. Its APR starts at 2.12%.",USA,2018,Series C,2020,228000000,150000000
LiquidNet,https://www.liquidnet.com/,2,Liquidity,6,"FI, FX & EQ marketplaces",Liquidnet is a platform where investors can execute large trades with maximum anonymity and minimum market impact. The company provides trading opportunities in 43 markets across five continents. The platform provides trading in equities and corporate bonds for public as well as private companies. The platform is used by more than 780 asset managers globally.,USA,2001,Private Equity,2019,250000000,250000000
Apptio,http://www.apptio.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Apptio is the leading provider of cloud-based Technology Business Management (TBM) software that helps CIOs manage the business of IT. Apptioâ€™s suite of applications use business analytics to provide facts and insights about technology cost, value, and quality, so IT leaders can make faster, data-driven decisions. The purpose-built applications help companies align technology spend to business outcomes and automate IT processes like cost transparency, benchmarking, showback/chargeback, operational efficiency, and planning. Powering Apptioâ€™s applications is a next generation, in-memory cost analytics platform that takes data directly from all financial, operational, and billing systems, and powers applications that give customers deep insight. This insight spans infrastructure, applications, and business services, both on-premises and in the cloud. Hundreds of customers, including more than a third of the Fortune 100, choose Apptio as their business system of record for IT. For more information, visit the Apptio website or the Apptio blog at www.apptio.com.","Bellevue, Washington, United States",2007,M&A,2018,261000000,125000000
Zopa,http://www.zopa.com,5,Consumer,16,B2C P2P,"Zopa is a P2P money lending service that allows lenders and borrowers to deal directly with one another, cutting out the banks who act as middlemen. Zopa works in the following way: the company first categorizes borrower credit grades with an A*, A, B, C or Y rating; then lenders make offers that vary by money amount and time period for persons with a certain credit grade, and borrowers can then agree the aggregate offered rate. Zopa takes on such responsibilities as distributing money between parties, completing the legal paperwork, performing borrower identity/credit checks, and employing a collections agency that chases missed payments for the lender. Zopa also mitigates risk for lenders by enforcing monthly direct debit repayment, making borrowers sign a legal contract, and allowing lenders to lend small chunks of money to individual borrowers (i.e. someone lending Ã‚Â£1000 would have their money spread across say, 100 borrowers). The company itself makes money by charging a fixed fee for borrowers and a 1% annual fee for lenders. Zopa has received public acclaim as well, having been awarded CNET Technology Awards' 2006 Internet Innovation of the Year, the 2007 Webby Award for Best Banking/Bill-Paying Website, the 2008 Webby Award for Financial Services, the Banker 2007 Award for Best Internet Project and Moneywise 2009 Awards for Best Customer Service and Best Personal Loan. One of the three initial members of the UK's Peer-to-Peer Finance Association, together with FundingCircle and RateSetter. Other P2P lending services include [Lending Club](http://www.crunchbase.com/organization/LendingClub), [Prosper](http://www.crunchbase.com/organization/Prosper), and [Kiva](http://www.crunchbase.com/organization/Kiva).","London, England, United Kingdom",2004,Series H,2019,464542302,167860845
Symphony,https://symphony.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Symphony provides an open source, secure communication and workflow platform that aims to improve workplace productivity and connects users to their community. Symphony has been designed to satisfy the compliance requirements of highly regulated companies. It is being backed up by some of Wall Steet's big names like Goldman Sachs, JP Morgan, Morgan Stanley, Credit Suisse, Bank of America, Citibank, Deutsche Bank, Wells Fargo.",USA,2014,Series E,2019,465000000,165000000
